epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5157.71,0.80511,0.95875,0.48285,1.02525,0.99436,1,0.9948,0.86537,0.99436,1,0.9948,0.83301,0.59558,0.73019,0.39298,1.00179,0.0014456,0.0014456,0.0014456
58,5242.08,0.81704,0.9759,0.48967,1.03267,0.99976,0.99749,0.995,0.8651,0.99976,0.99749,0.995,0.82388,0.59139,0.73014,0.36965,0.99518,0.0014357,0.0014357,0.0014357
59,5321.11,0.81235,0.98589,0.49008,1.03895,0.9942,0.99749,0.99497,0.86836,0.9942,0.99749,0.99497,0.8263,0.5761,0.74638,0.36307,0.99016,0.0014258,0.0014258,0.0014258
60,5398.06,0.79661,0.94633,0.46954,1.02316,0.99464,0.99749,0.99469,0.87827,0.99464,0.99749,0.99469,0.84258,0.56679,0.70995,0.36076,0.98212,0.0014159,0.0014159,0.0014159
61,5484.45,0.77381,0.94625,0.46469,1.01355,0.99914,1,0.995,0.87711,0.99914,1,0.995,0.8421,0.60811,0.73485,0.36467,0.99975,0.001406,0.001406,0.001406
62,5580.33,0.78952,0.95239,0.47754,1.02517,0.9975,0.99947,0.995,0.87195,0.9975,0.99947,0.995,0.83942,0.58448,0.72041,0.35439,0.99224,0.0013961,0.0013961,0.0013961
63,5676.82,0.76285,0.94697,0.46631,1.0185,0.99749,0.99702,0.99492,0.87629,0.99749,0.99702,0.99492,0.83618,0.58411,0.76046,0.36218,0.99728,0.0013862,0.0013862,0.0013862
64,5774.06,0.7558,0.93516,0.45596,1.00364,0.99749,0.99722,0.995,0.86499,0.99749,0.99722,0.995,0.8347,0.57905,0.72433,0.35695,0.99077,0.0013763,0.0013763,0.0013763
65,5865.97,0.76039,0.93402,0.46328,1.0158,0.99694,0.99749,0.995,0.87351,0.99694,0.99749,0.995,0.83673,0.56651,0.72532,0.35178,0.98314,0.0013664,0.0013664,0.0013664
66,5962.7,0.74791,0.90483,0.45481,1.00993,0.9975,0.99981,0.99498,0.88293,0.9975,0.99981,0.99498,0.84775,0.56282,0.68969,0.34945,0.9841,0.0013565,0.0013565,0.0013565
67,6058.96,0.75092,0.90854,0.45617,1.00562,0.99473,0.99749,0.995,0.87861,0.99473,0.99749,0.995,0.84737,0.55906,0.69864,0.34851,0.97648,0.0013466,0.0013466,0.0013466
68,6158.16,0.75427,0.9231,0.45623,1.01318,0.99975,0.99749,0.995,0.884,0.99975,0.99749,0.995,0.84643,0.54272,0.68676,0.33352,0.97087,0.0013367,0.0013367,0.0013367
69,6270.14,0.75747,0.93308,0.45198,1.00782,0.99743,0.99749,0.995,0.88417,0.99743,0.99749,0.995,0.85013,0.54574,0.69893,0.34336,0.97388,0.0013268,0.0013268,0.0013268
70,6388.74,0.75619,0.93193,0.45201,1.01222,0.99588,0.99749,0.99497,0.8838,0.99588,0.99749,0.99497,0.83953,0.54072,0.71257,0.3355,0.96938,0.0013169,0.0013169,0.0013169
