epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7214.74,0.57654,0.73209,0.33439,0.93792,0.99967,1,0.995,0.92527,0.99967,1,0.995,0.87895,0.42778,0.59878,0.2426,0.90261,0.0012008,0.0012008,0.0012008
82,7297.26,0.57717,0.72628,0.33043,0.93729,0.99954,1,0.995,0.93311,0.99954,1,0.995,0.88533,0.42702,0.59594,0.24112,0.90277,0.00119081,0.00119081,0.00119081
83,7378.66,0.579,0.75366,0.34464,0.93986,0.99973,0.99749,0.995,0.92163,0.99973,0.99749,0.995,0.87965,0.43554,0.59731,0.24334,0.90416,0.00118082,0.00118082,0.00118082
84,7458.33,0.57154,0.71644,0.33503,0.93364,0.99964,0.99749,0.995,0.92778,0.99964,0.99749,0.995,0.87739,0.42936,0.59805,0.24126,0.90224,0.00117083,0.00117083,0.00117083
85,7538.86,0.5772,0.73092,0.33478,0.93627,0.99966,0.99749,0.995,0.92604,0.99966,0.99749,0.995,0.88004,0.44579,0.60646,0.24502,0.91023,0.00116084,0.00116084,0.00116084
86,7620.23,0.57717,0.73498,0.33783,0.94035,0.99967,0.99749,0.995,0.922,0.99967,0.99749,0.995,0.87521,0.44246,0.60304,0.24429,0.90969,0.00115085,0.00115085,0.00115085
87,7703.1,0.57293,0.7281,0.33105,0.93345,0.99971,1,0.995,0.92668,0.99971,1,0.995,0.87434,0.43633,0.60356,0.24364,0.90427,0.00114086,0.00114086,0.00114086
88,7784.21,0.56414,0.72992,0.33076,0.92922,0.9997,0.99749,0.995,0.91988,0.9997,0.99749,0.995,0.87699,0.44157,0.59463,0.24628,0.90889,0.00113087,0.00113087,0.00113087
89,7864.55,0.5598,0.69877,0.32364,0.93292,0.99985,1,0.995,0.93778,0.99985,1,0.995,0.88172,0.42476,0.58591,0.23777,0.90149,0.00112088,0.00112088,0.00112088
90,7944.2,0.56116,0.71188,0.32589,0.93525,0.99975,1,0.995,0.92576,0.99975,1,0.995,0.87803,0.43606,0.59765,0.24089,0.90389,0.00111089,0.00111089,0.00111089
91,8036.88,0.57601,0.73919,0.33719,0.9305,0.99967,0.99749,0.995,0.93343,0.99967,0.99749,0.995,0.88414,0.42534,0.59147,0.23975,0.89983,0.0011009,0.0011009,0.0011009
92,8121.01,0.57065,0.7198,0.3343,0.93646,0.99976,1,0.995,0.9376,0.99976,1,0.995,0.88458,0.42179,0.58807,0.234,0.89918,0.00109091,0.00109091,0.00109091
93,8207.47,0.57854,0.72828,0.33535,0.92761,0.99985,1,0.995,0.93042,0.99985,1,0.995,0.87733,0.42127,0.59493,0.23394,0.8993,0.00108092,0.00108092,0.00108092
94,8291.2,0.57747,0.73122,0.33474,0.93417,0.99997,1,0.995,0.93013,0.99997,1,0.995,0.88576,0.43031,0.58673,0.24048,0.90387,0.00107093,0.00107093,0.00107093
95,8373.62,0.57629,0.70564,0.33337,0.93936,1,0.99989,0.995,0.9328,1,0.99989,0.995,0.88265,0.4264,0.58535,0.235,0.90162,0.00106094,0.00106094,0.00106094
96,8457.3,0.57607,0.72803,0.33558,0.93676,0.99983,1,0.995,0.92596,0.99983,1,0.995,0.88346,0.42841,0.58383,0.23891,0.90482,0.00105095,0.00105095,0.00105095
